date,quantity,status
2021-08-28,1787.0000000000005,recorded
2021-08-29,1212.0,recorded
2021-08-30,4129.000000000001,recorded
2021-08-31,2447.000000000001,recorded
2021-09-01,5183.000000000002,recorded
2021-09-02,3719.000000000001,recorded
2021-09-03,3087.000000000002,recorded
2021-09-04,1903.0,recorded
2021-09-05,777.0,recorded
2021-09-06,4936.000000000004,recorded
2021-09-07,3342.0000000000005,recorded
2021-09-08,6106.000000000001,recorded
2021-09-09,4885.000000000003,recorded
2021-09-10,3881.0000000000014,recorded
2021-09-11,2097.0,recorded
2021-09-12,2476.0000000000005,recorded
2021-09-13,2960.0000000000014,recorded
2021-09-14,2840.000000000001,recorded
2021-09-15,2839.0,recorded
2021-09-16,4422.000000000001,recorded
2021-09-17,3586.0000000000023,recorded
2021-09-18,1602.0000000000002,recorded
2021-09-19,2372.0,recorded
2021-09-20,3294.0000000000014,recorded
2021-09-21,3390.000000000002,recorded
2021-09-22,3899.0000000000027,recorded
2021-09-23,3549.000000000002,recorded
2021-09-24,5243.000000000003,recorded
2021-09-25,2211.000000000001,recorded
2021-09-26,1018.0,recorded
2021-09-27,4993.000000000001,recorded
2021-09-28,3304.000000000001,recorded
2021-09-29,3401.0000000000014,recorded
2021-09-30,5111.000000000004,recorded
2021-10-01,4681.000000000003,recorded
2021-10-02,2531.000000000001,recorded
2021-10-03,2219.0000000000005,recorded
2021-10-04,4863.000000000005,recorded
2021-10-05,3287.0000000000023,recorded
2021-10-06,4918.000000000001,recorded
2021-10-07,4843.000000000001,recorded
2021-10-08,2596.0000000000014,recorded
2021-10-09,1920.0,recorded
2021-10-10,2651.0,recorded
2021-10-11,4270.000000000001,recorded
2021-10-12,2528.0000000000005,recorded
2021-10-13,3408.0000000000014,recorded
2021-10-14,3699.000000000001,recorded
2021-10-15,2774.000000000001,recorded
2021-10-16,1929.0000000000007,recorded
2021-10-17,1178.0000000000002,recorded
2021-10-18,4375.000000000002,recorded
2021-10-19,3106.000000000001,recorded
2021-10-20,3333.0000000000014,recorded
2021-10-21,3912.0,recorded
2021-10-22,2876.9999999999995,recorded
2021-10-23,1678.9999999999998,recorded
2021-10-24,1358.0,recorded
2021-10-25,3386.0000000000023,recorded
2021-10-26,2125.0,recorded
2021-10-27,2434.0000000000014,recorded
2021-10-28,1676.0000000000002,recorded
2021-10-29,4087.9999999999995,recorded
2021-10-30,2118.0000000000005,recorded
2021-10-31,1760.0,recorded
2021-11-01,4364.000000000002,recorded
2021-11-02,5309.0,recorded
2021-11-03,3573.0000000000005,recorded
2021-11-04,3495.000000000001,recorded
2021-11-05,2666.000000000001,recorded
2021-11-06,1827.9999999999995,recorded
2021-11-07,850.0000000000001,recorded
2021-11-08,4048.0000000000027,recorded
2021-11-09,2726.0000000000014,recorded
2021-11-10,4095.0000000000023,recorded
2021-11-11,3312.0,recorded
2021-11-12,2711.0000000000014,recorded
2021-11-13,1725.0,recorded
2021-11-14,3322.0,recorded
2021-11-15,3158.0000000000014,recorded
2021-11-16,2633.000000000001,recorded
2021-11-17,2186.0,recorded
2021-11-18,3686.0,recorded
2021-11-19,3044.0000000000005,recorded
2021-11-20,1457.0000000000002,recorded
2021-11-21,1403.0,recorded
2021-11-22,3371.000000000001,recorded
2021-11-23,2087.0,recorded
2021-11-24,1778.9999999999998,recorded
2021-11-25,2789.0000000000005,recorded
2021-11-26,2260.9999999999995,recorded
2021-11-27,1667.0000000000002,recorded
2021-11-28,644.0000000000001,recorded
2021-11-29,4800.000000000002,recorded
2021-11-30,1917.0000000000002,recorded
2021-12-01,3312.0,recorded
2021-12-02,2706.000000000001,recorded
2021-12-03,2837.0000000000005,recorded
2021-12-04,1139.9999999999998,recorded
2021-12-05,511.00000000000006,recorded
2021-12-06,4296.000000000001,recorded
2021-12-07,2056.0,recorded
2021-12-08,2178.0,recorded
2021-12-09,3984.0000000000027,recorded
2021-12-10,2076.000000000001,recorded
2021-12-11,1298.0000000000002,recorded
2021-12-12,1115.0,recorded
2021-12-13,4046.000000000003,recorded
2021-12-14,2290.0,recorded
2021-12-15,3133.000000000001,recorded
2021-12-16,3005.999999999999,recorded
2021-12-17,2368.0,recorded
2021-12-18,1286.0,recorded
2021-12-19,1418.0000000000002,recorded
2021-12-20,3180.0000000000005,recorded
2021-12-21,2506.0,recorded
2021-12-22,3240.000000000001,recorded
2021-12-23,3579.000000000002,recorded
2021-12-24,2098.0000000000005,recorded
2021-12-25,,missing_date
2021-12-26,936.0000000000001,recorded
2021-12-27,4007.0000000000005,recorded
2021-12-28,1572.9999999999995,recorded
2021-12-29,3552.0000000000023,recorded
2021-12-30,2424.9999999999995,recorded
2021-12-31,1544.9999999999998,recorded
