date,reference_date,actual,predicted,absolute_error,status
2022-07-27,2022-07-20,3336.000000000001,3281.000000000001,55.0,evaluated
2022-07-28,2022-07-21,3274.0,2188.000000000001,1085.999999999999,evaluated
2022-07-29,2022-07-22,3364.9999999999995,3729.000000000001,364.00000000000136,evaluated
2022-07-30,2022-07-23,1564.9999999999998,1263.9999999999995,301.0000000000002,evaluated
2022-07-31,2022-07-24,1627.0,507.99999999999994,1119.0,evaluated
2022-08-01,2022-07-25,2964.000000000001,4594.000000000003,1630.0000000000018,evaluated
2022-08-02,2022-07-26,3232.9999999999995,2919.9999999999995,313.0,evaluated
2022-08-03,2022-07-27,2101.0,3336.000000000001,1235.000000000001,evaluated
2022-08-04,2022-07-28,2750.000000000001,3274.0,523.9999999999991,evaluated
2022-08-05,2022-07-29,3059.0,3364.9999999999995,305.99999999999955,evaluated
2022-08-06,2022-07-30,1101.9999999999995,1564.9999999999998,463.0000000000002,evaluated
2022-08-07,2022-07-31,1573.0000000000002,1627.0,53.99999999999977,evaluated
2022-08-08,2022-08-01,3516.000000000001,2964.000000000001,552.0,evaluated
2022-08-09,2022-08-02,2432.0,3232.9999999999995,800.9999999999995,evaluated
2022-08-10,2022-08-03,2545.0,2101.0,444.0,evaluated
2022-08-11,2022-08-04,3897.0000000000005,2750.000000000001,1146.9999999999995,evaluated
2022-08-12,2022-08-05,2793.0000000000005,3059.0,265.99999999999955,evaluated
2022-08-13,2022-08-06,608.0,1101.9999999999995,493.99999999999955,evaluated
2022-08-14,2022-08-07,320.0,1573.0000000000002,1253.0000000000002,evaluated
2022-08-15,2022-08-08,1018.0,3516.000000000001,2498.000000000001,evaluated
2022-08-16,2022-08-09,4604.999999999999,2432.0,2172.999999999999,evaluated
2022-08-17,2022-08-10,2699.000000000001,2545.0,154.0000000000009,evaluated
2022-08-18,2022-08-11,2894.000000000001,3897.0000000000005,1002.9999999999995,evaluated
2022-08-19,2022-08-12,2346.000000000001,2793.0000000000005,446.99999999999955,evaluated
2022-08-20,2022-08-13,1470.9999999999995,608.0,862.9999999999995,evaluated
2022-08-21,2022-08-14,2001.0,320.0,1681.0,evaluated
2022-08-22,2022-08-15,3720.0,1018.0,2702.0,evaluated
2022-08-23,2022-08-16,2546.0,4604.999999999999,2058.999999999999,evaluated
2022-08-24,2022-08-17,2644.0000000000005,2699.000000000001,55.000000000000455,evaluated
2022-08-25,2022-08-18,2521.000000000001,2894.000000000001,373.0,evaluated
2022-08-26,2022-08-19,3326.0000000000014,2346.000000000001,980.0000000000005,evaluated
2022-08-27,2022-08-20,1460.0,1470.9999999999995,10.999999999999545,evaluated
2022-08-28,2022-08-21,652.0,2001.0,1349.0,evaluated
2022-08-29,2022-08-22,4034.0000000000027,3720.0,314.00000000000273,evaluated
2022-08-30,2022-08-23,2670.999999999999,2546.0,124.99999999999909,evaluated
2022-08-31,2022-08-24,4154.000000000001,2644.0000000000005,1510.0000000000005,evaluated
2022-09-01,2022-08-25,2311.0,2521.000000000001,210.0000000000009,evaluated
2022-09-02,2022-08-26,3454.000000000001,3326.0000000000014,127.99999999999955,evaluated
2022-09-03,2022-08-27,1932.9999999999995,1460.0,472.99999999999955,evaluated
2022-09-04,2022-08-28,684.0000000000002,652.0,32.00000000000023,evaluated
2022-09-05,2022-08-29,4178.000000000003,4034.0000000000027,144.0,evaluated
2022-09-06,2022-08-30,2236.0,2670.999999999999,434.9999999999991,evaluated
2022-09-07,2022-08-31,3297.0000000000005,4154.000000000001,857.0000000000005,evaluated
2022-09-08,2022-09-01,3898.0000000000036,2311.0,1587.0000000000036,evaluated
2022-09-09,2022-09-02,3911.0000000000014,3454.000000000001,457.00000000000045,evaluated
2022-09-10,2022-09-03,1616.0,1932.9999999999995,316.99999999999955,evaluated
2022-09-11,2022-09-04,1352.0000000000002,684.0000000000002,668.0,evaluated
2022-09-12,2022-09-05,3911.0000000000014,4178.000000000003,267.00000000000136,evaluated
2022-09-13,2022-09-06,3083.0000000000005,2236.0,847.0000000000005,evaluated
2022-09-14,2022-09-07,3035.000000000002,3297.0000000000005,261.99999999999864,evaluated
2022-09-15,2022-09-08,2775.000000000002,3898.0000000000036,1123.0000000000018,evaluated
2022-09-16,2022-09-09,1769.0000000000007,3911.0000000000014,2142.000000000001,evaluated
2022-09-17,2022-09-10,1602.9999999999993,1616.0,13.000000000000682,evaluated
2022-09-18,2022-09-11,2845.0,1352.0000000000002,1492.9999999999998,evaluated
2022-09-19,2022-09-12,3947.9999999999995,3911.0000000000014,36.99999999999818,evaluated
2022-09-20,2022-09-13,3370.0000000000005,3083.0000000000005,287.0,evaluated
2022-09-21,2022-09-14,4196.000000000003,3035.000000000002,1161.000000000001,evaluated
2022-09-22,2022-09-15,2724.999999999999,2775.000000000002,50.00000000000273,evaluated
2022-09-23,2022-09-16,3308.000000000001,1769.0000000000007,1539.0000000000002,evaluated
2022-09-24,2022-09-17,1577.9999999999998,1602.9999999999993,24.999999999999545,evaluated
2022-09-25,2022-09-18,1291.0,2845.0,1554.0,evaluated
2022-09-26,2022-09-19,3862.0000000000014,3947.9999999999995,85.99999999999818,evaluated
2022-09-27,2022-09-20,2762.0,3370.0000000000005,608.0000000000005,evaluated
2022-09-28,2022-09-21,2153.0000000000005,4196.000000000003,2043.0000000000023,evaluated
2022-09-29,2022-09-22,3733.9999999999995,2724.999999999999,1009.0000000000005,evaluated
2022-09-30,2022-09-23,3103.0000000000014,3308.000000000001,204.99999999999955,evaluated
